output-code-0.txt vs test.txt: 326/2640;Percent similarity is 12.34848484848485
output-code-0.txt vs output-code-1.txt: 891/6840;Percent similarity is 13.026315789473683
output-code-0.txt vs output-code-2.txt: 2035/15360;Percent similarity is 13.248697916666666
output-code-0.txt vs output-code-4.txt: 690/5280;Percent similarity is 13.068181818181818
output-code-0.txt vs output-code-5.txt: 2230/16920;Percent similarity is 13.17966903073286
output-code-0.txt vs output-code-6.txt: 651/5040;Percent similarity is 12.916666666666668
output-code-0.txt vs output-code-7.txt: 1021/7800;Percent similarity is 13.089743589743591
output-code-0.txt vs output-code-8.txt: 2038/15360;Percent similarity is 13.268229166666668
output-code-0.txt vs output-code-9.txt: 1840/13920;Percent similarity is 13.218390804597702
output-code-0.txt vs output-code-10.txt: 1743/13080;Percent similarity is 13.325688073394495
output-code-0.txt vs output-code-11.txt: 988/7560;Percent similarity is 13.068783068783068
output-code-0.txt vs output-code-12.txt: 1215/9240;Percent similarity is 13.14935064935065
output-code-0.txt vs output-code-13.txt: 1498/11280;Percent similarity is 13.280141843971633
output-code-0.txt vs output-code-14.txt: 1259/9600;Percent similarity is 13.114583333333332
output-code-0.txt vs output-code-15.txt: 1541/11640;Percent similarity is 13.238831615120276
output-code-0.txt vs output-code-16.txt: 2059/15480;Percent similarity is 13.301033591731265
output-code-0.txt vs output-code-17.txt: 1558/11760;Percent similarity is 13.248299319727892
output-code-0.txt vs output-code-18.txt: 1998/15120;Percent similarity is 13.214285714285715
output-code-0.txt vs output-code-19.txt: 1053/8040;Percent similarity is 13.097014925373134
output-code-0.txt vs output-code-20.txt: 2058/15480;Percent similarity is 13.294573643410853
output-code-0.txt vs output-code-21.txt: 1312/9960;Percent similarity is 13.17269076305221
output-code-0.txt vs output-code-22.txt: 2406/18360;Percent similarity is 13.104575163398694
output-code-0.txt vs output-code-23.txt: 2718/20880;Percent similarity is 13.017241379310345
output-code-0.txt vs output-code-24.txt: 1773/13320;Percent similarity is 13.31081081081081
output-code-0.txt vs output-code-25.txt: 1180/9000;Percent similarity is 13.111111111111112
output-code-0.txt vs output-code-26.txt: 606/4680;Percent similarity is 12.94871794871795
output-code-0.txt vs output-code-27.txt: 1277/9720;Percent similarity is 13.137860082304526
output-code-0.txt vs output-code-28.txt: 2276/17280;Percent similarity is 13.171296296296298
output-code-0.txt vs output-code-29.txt: 1645/12360;Percent similarity is 13.309061488673137
output-code-0.txt vs output-code-31.txt: 890/6840;Percent similarity is 13.011695906432749
output-code-0.txt vs output-code-32.txt: 1841/13920;Percent similarity is 13.22557471264368
output-code-0.txt vs output-code-33.txt: 988/7560;Percent similarity is 13.068783068783068
output-code-0.txt vs output-code-34.txt: 1931/14520;Percent similarity is 13.298898071625345
output-code-0.txt vs output-code-35.txt: 2688/20640;Percent similarity is 13.023255813953488
output-code-0.txt vs output-code-36.txt: 652/5040;Percent similarity is 12.936507936507939
output-code-0.txt vs output-code-37.txt: 1901/14280;Percent similarity is 13.31232492997199
output-code-0.txt vs output-code-40.txt: 2726/21000;Percent similarity is 12.980952380952381
output-code-0.txt vs output-code-41.txt: 2280/17280;Percent similarity is 13.194444444444445
output-code-0.txt vs output-code-42.txt: 2770/21360;Percent similarity is 12.968164794007492
output-code-0.txt vs output-code-43.txt: 2262/17160;Percent similarity is 13.18181818181818
output-code-0.txt vs output-code-44.txt: 2290/17400;Percent similarity is 13.160919540229884
output-code-0.txt vs output-code-45.txt: 1241/9480;Percent similarity is 13.090717299578058
output-code-0.txt vs output-code-46.txt: 1229/9360;Percent similarity is 13.13034188034188
output-code-0.txt vs output-code-48.txt: 1665/12480;Percent similarity is 13.341346153846153
output-code-0.txt vs output-code-49.txt: 1130/8640;Percent similarity is 13.078703703703704
output-code-0.txt vs output-code-50.txt: 1510/11400;Percent similarity is 13.24561403508772
output-code-0.txt vs output-code-51.txt: 396/3240;Percent similarity is 12.222222222222221
output-code-0.txt vs output-code-52.txt: 1242/9480;Percent similarity is 13.10126582278481
output-code-0.txt vs output-code-53.txt: 1679/12600;Percent similarity is 13.325396825396826
output-code-0.txt vs output-code-54.txt: 1575/11880;Percent similarity is 13.257575757575758
output-code-0.txt vs output-code-55.txt: 1474/11160;Percent similarity is 13.207885304659497
output-code-0.txt vs output-code-56.txt: 639/4920;Percent similarity is 12.987804878048781
output-code-0.txt vs output-code-57.txt: 2061/15480;Percent similarity is 13.313953488372093
output-code-0.txt vs output-code-58.txt: 1275/9720;Percent similarity is 13.117283950617283
output-code-0.txt vs output-code-60.txt: 869/6600;Percent similarity is 13.166666666666666
output-code-0.txt vs output-code-62.txt: 1624/12240;Percent similarity is 13.267973856209151
output-code-0.txt vs output-code-63.txt: 1475/11160;Percent similarity is 13.216845878136201
output-code-0.txt vs output-code-64.txt: 1114/8520;Percent similarity is 13.07511737089202
output-code-0.txt vs output-code-65.txt: 1693/12720;Percent similarity is 13.309748427672957
output-code-0.txt vs output-code-67.txt: 2725/21000;Percent similarity is 12.976190476190478
output-code-0.txt vs output-code-68.txt: 5147/40560;Percent similarity is 12.68984220907298
output-code-0.txt vs output-code-69.txt: 128/1080;Percent similarity is 11.851851851851853
output-code-0.txt vs output-code-70.txt: 1813/13680;Percent similarity is 13.252923976608185
output-code-0.txt vs output-code-71.txt: 1605/12120;Percent similarity is 13.242574257425744
output-code-0.txt vs output-code-72.txt: 752/5760;Percent similarity is 13.055555555555557
output-code-0.txt vs output-code-73.txt: 2524/19440;Percent similarity is 12.983539094650206
output-code-0.txt vs output-code-74.txt: 1477/11160;Percent similarity is 13.234767025089605
output-code-0.txt vs output-code-75.txt: 1759/13200;Percent similarity is 13.325757575757576
output-code-0.txt vs output-code-76.txt: 551/4320;Percent similarity is 12.75462962962963
output-code-0.txt vs output-code-77.txt: 607/4680;Percent similarity is 12.970085470085472
output-code-0.txt vs output-code-78.txt: 1356/10320;Percent similarity is 13.13953488372093
output-code-0.txt vs output-code-79.txt: 1932/14520;Percent similarity is 13.305785123966944
output-code-0.txt vs output-code-80.txt: 1973/14880;Percent similarity is 13.259408602150538
output-code-0.txt vs output-code-82.txt: 1227/9360;Percent similarity is 13.10897435897436
output-code-0.txt vs output-code-83.txt: 2688/20640;Percent similarity is 13.023255813953488
output-code-0.txt vs output-code-84.txt: 1741/13080;Percent similarity is 13.31039755351682
output-code-0.txt vs output-code-85.txt: 1605/12120;Percent similarity is 13.242574257425744
output-code-0.txt vs output-code-86.txt: 834/6360;Percent similarity is 13.11320754716981
output-code-0.txt vs output-code-87.txt: 1422/10800;Percent similarity is 13.166666666666666
output-code-0.txt vs output-code-88.txt: 1960/14760;Percent similarity is 13.279132791327914
output-code-0.txt vs output-code-89.txt: 2660/20400;Percent similarity is 13.039215686274511
output-code-0.txt vs output-code-90.txt: 2971/23040;Percent similarity is 12.894965277777779
output-code-0.txt vs output-code-91.txt: 1340/10200;Percent similarity is 13.137254901960786
output-code-0.txt vs output-code-92.txt: 3645/28440;Percent similarity is 12.81645569620253
output-code-0.txt vs output-code-93.txt: 1880/14160;Percent similarity is 13.27683615819209
output-code-0.txt vs output-code-94.txt: 1774/13320;Percent similarity is 13.318318318318317
output-code-0.txt vs output-code-95.txt: 2570/19800;Percent similarity is 12.97979797979798
output-code-0.txt vs output-code-96.txt: 1591/12000;Percent similarity is 13.258333333333333
output-code-0.txt vs output-code-97.txt: 1509/11400;Percent similarity is 13.236842105263158
output-code-0.txt vs output-code-98.txt: 1162/8880;Percent similarity is 13.085585585585585
test.txt vs output-code-1.txt: 160/1254;Percent similarity is 12.759170653907494
test.txt vs output-code-2.txt: 346/2816;Percent similarity is 12.286931818181818
test.txt vs output-code-4.txt: 130/968;Percent similarity is 13.429752066115702
test.txt vs output-code-5.txt: 380/3102;Percent similarity is 12.250161186331399
test.txt vs output-code-6.txt: 124/924;Percent similarity is 13.41991341991342
test.txt vs output-code-7.txt: 177/1430;Percent similarity is 12.377622377622377
test.txt vs output-code-8.txt: 346/2816;Percent similarity is 12.286931818181818
test.txt vs output-code-9.txt: 318/2552;Percent similarity is 12.460815047021944
test.txt vs output-code-10.txt: 294/2398;Percent similarity is 12.260216847372812
test.txt vs output-code-11.txt: 170/1386;Percent similarity is 12.265512265512266
test.txt vs output-code-12.txt: 216/1694;Percent similarity is 12.750885478158205
test.txt vs output-code-13.txt: 254/2068;Percent similarity is 12.282398452611218
test.txt vs output-code-14.txt: 224/1760;Percent similarity is 12.727272727272727
test.txt vs output-code-15.txt: 260/2134;Percent similarity is 12.18369259606373
test.txt vs output-code-16.txt: 350/2838;Percent similarity is 12.332628611698379
test.txt vs output-code-17.txt: 265/2156;Percent similarity is 12.291280148423006
test.txt vs output-code-18.txt: 341/2772;Percent similarity is 12.3015873015873
test.txt vs output-code-19.txt: 184/1474;Percent similarity is 12.48303934871099
test.txt vs output-code-20.txt: 349/2838;Percent similarity is 12.29739252995067
test.txt vs output-code-21.txt: 231/1826;Percent similarity is 12.650602409638553
test.txt vs output-code-22.txt: 404/3366;Percent similarity is 12.002376708259062
test.txt vs output-code-23.txt: 468/3828;Percent similarity is 12.225705329153605
test.txt vs output-code-24.txt: 301/2442;Percent similarity is 12.325962325962326
test.txt vs output-code-25.txt: 213/1650;Percent similarity is 12.909090909090908
test.txt vs output-code-26.txt: 118/858;Percent similarity is 13.752913752913754
test.txt vs output-code-27.txt: 226/1782;Percent similarity is 12.682379349046016
test.txt vs output-code-28.txt: 388/3168;Percent similarity is 12.247474747474747
test.txt vs output-code-29.txt: 277/2266;Percent similarity is 12.224183583406885
test.txt vs output-code-31.txt: 160/1254;Percent similarity is 12.759170653907494
test.txt vs output-code-32.txt: 319/2552;Percent similarity is 12.5
test.txt vs output-code-33.txt: 173/1386;Percent similarity is 12.481962481962482
test.txt vs output-code-34.txt: 332/2662;Percent similarity is 12.47182569496619
test.txt vs output-code-35.txt: 461/3784;Percent similarity is 12.182875264270614
test.txt vs output-code-36.txt: 124/924;Percent similarity is 13.41991341991342
test.txt vs output-code-37.txt: 325/2618;Percent similarity is 12.41405653170359
test.txt vs output-code-40.txt: 471/3850;Percent similarity is 12.233766233766234
test.txt vs output-code-41.txt: 389/3168;Percent similarity is 12.279040404040405
test.txt vs output-code-42.txt: 480/3916;Percent similarity is 12.257405515832483
test.txt vs output-code-43.txt: 389/3146;Percent similarity is 12.364907819453276
test.txt vs output-code-44.txt: 391/3190;Percent similarity is 12.257053291536051
test.txt vs output-code-45.txt: 223/1738;Percent similarity is 12.83084004602992
test.txt vs output-code-46.txt: 219/1716;Percent similarity is 12.762237762237763
test.txt vs output-code-48.txt: 281/2288;Percent similarity is 12.281468531468532
test.txt vs output-code-49.txt: 200/1584;Percent similarity is 12.626262626262626
test.txt vs output-code-50.txt: 256/2090;Percent similarity is 12.248803827751196
test.txt vs output-code-51.txt: 88/594;Percent similarity is 14.814814814814813
test.txt vs output-code-52.txt: 223/1738;Percent similarity is 12.83084004602992
test.txt vs output-code-53.txt: 285/2310;Percent similarity is 12.337662337662337
test.txt vs output-code-54.txt: 268/2178;Percent similarity is 12.304866850321396
test.txt vs output-code-55.txt: 251/2046;Percent similarity is 12.267839687194526
test.txt vs output-code-56.txt: 123/902;Percent similarity is 13.636363636363635
test.txt vs output-code-57.txt: 350/2838;Percent similarity is 12.332628611698379
test.txt vs output-code-58.txt: 226/1782;Percent similarity is 12.682379349046016
test.txt vs output-code-60.txt: 157/1210;Percent similarity is 12.975206611570247
test.txt vs output-code-62.txt: 272/2244;Percent similarity is 12.121212121212121
