output-code-0.txt: total_sum=16346, max_depths=293, min_depths=1
test.txt: total_sum=1012, max_depths=65, min_depths=2
output-code-1.txt: total_sum=792, max_depths=54, min_depths=1
output-code-2.txt: total_sum=4904, max_depths=113, min_depths=2
output-code-4.txt: total_sum=592, max_depths=46, min_depths=1
output-code-5.txt: total_sum=22118, max_depths=358, min_depths=1
output-code-6.txt: total_sum=2404, max_depths=84, min_depths=21
output-code-7.txt: total_sum=2048, max_depths=67, min_depths=2
output-code-8.txt: total_sum=7484, max_depths=185, min_depths=1
output-code-9.txt: total_sum=7848, max_depths=154, min_depths=1
output-code-10.txt: total_sum=6526, max_depths=128, min_depths=1
output-code-11.txt: total_sum=1800, max_depths=84, min_depths=1
output-code-12.txt: total_sum=1834, max_depths=84, min_depths=1
output-code-13.txt: total_sum=7002, max_depths=148, min_depths=1
output-code-14.txt: total_sum=2520, max_depths=99, min_depths=1
output-code-15.txt: total_sum=11330, max_depths=204, min_depths=2
output-code-16.txt: total_sum=8992, max_depths=192, min_depths=1
output-code-17.txt: total_sum=9122, max_depths=180, min_depths=2
output-code-18.txt: total_sum=8440, max_depths=185, min_depths=1
output-code-19.txt: total_sum=14584, max_depths=240, min_depths=116
output-code-20.txt: total_sum=11862, max_depths=193, min_depths=1
output-code-21.txt: total_sum=4170, max_depths=128, min_depths=1
output-code-22.txt: total_sum=19750, max_depths=213, min_depths=2
output-code-23.txt: total_sum=21356, max_depths=238, min_depths=2
output-code-24.txt: total_sum=14440, max_depths=262, min_depths=2
output-code-25.txt: total_sum=2142, max_depths=63, min_depths=1
output-code-26.txt: total_sum=760, max_depths=54, min_depths=1
output-code-27.txt: total_sum=1302, max_depths=46, min_depths=1
output-code-28.txt: total_sum=18452, max_depths=330, min_depths=1
output-code-29.txt: total_sum=10854, max_depths=249, min_depths=1
output-code-31.txt: total_sum=1010, max_depths=61, min_depths=1
output-code-32.txt: total_sum=6572, max_depths=129, min_depths=1
output-code-33.txt: total_sum=1026, max_depths=61, min_depths=1
output-code-34.txt: total_sum=4942, max_depths=75, min_depths=1
output-code-35.txt: total_sum=46616, max_depths=513, min_depths=1
output-code-36.txt: total_sum=2404, max_depths=84, min_depths=22
output-code-37.txt: total_sum=5742, max_depths=103, min_depths=1
output-code-40.txt: total_sum=20324, max_depths=280, min_depths=1
output-code-41.txt: total_sum=21858, max_depths=298, min_depths=1
output-code-42.txt: total_sum=82830, max_depths=712, min_depths=2
output-code-43.txt: total_sum=28826, max_depths=258, min_depths=1
output-code-44.txt: total_sum=15960, max_depths=246, min_depths=1
output-code-45.txt: total_sum=2146, max_depths=91, min_depths=1
output-code-46.txt: total_sum=2220, max_depths=91, min_depths=1
output-code-48.txt: total_sum=5252, max_depths=110, min_depths=1
output-code-49.txt: total_sum=5054, max_depths=134, min_depths=2
output-code-50.txt: total_sum=11516, max_depths=256, min_depths=1
output-code-51.txt: total_sum=560, max_depths=46, min_depths=1
output-code-52.txt: total_sum=2110, max_depths=69, min_depths=1
output-code-53.txt: total_sum=3832, max_depths=109, min_depths=1
output-code-54.txt: total_sum=7234, max_depths=149, min_depths=2
output-code-55.txt: total_sum=4566, max_depths=105, min_depths=1
output-code-56.txt: total_sum=1784, max_depths=84, min_depths=1
output-code-57.txt: total_sum=24210, max_depths=374, min_depths=1
output-code-58.txt: total_sum=2190, max_depths=84, min_depths=1
output-code-60.txt: total_sum=1532, max_depths=73, min_depths=1
output-code-62.txt: total_sum=9584, max_depths=170, min_depths=1
output-code-63.txt: total_sum=5472, max_depths=105, min_depths=1
output-code-64.txt: total_sum=3300, max_depths=114, min_depths=1
output-code-65.txt: total_sum=6556, max_depths=143, min_depths=1
output-code-67.txt: total_sum=11420, max_depths=184, min_depths=1
output-code-68.txt: total_sum=361458, max_depths=1482, min_depths=2
output-code-69.txt: total_sum=140, max_depths=21, min_depths=9
output-code-70.txt: total_sum=4972, max_depths=120, min_depths=1
output-code-71.txt: total_sum=8768, max_depths=187, min_depths=1
output-code-72.txt: total_sum=3814, max_depths=117, min_depths=14
output-code-73.txt: total_sum=28648, max_depths=401, min_depths=1
output-code-74.txt: total_sum=4154, max_depths=128, min_depths=1
output-code-75.txt: total_sum=16318, max_depths=302, min_depths=1
output-code-76.txt: total_sum=584, max_depths=46, min_depths=1
output-code-77.txt: total_sum=760, max_depths=54, min_depths=1
output-code-78.txt: total_sum=3986, max_depths=98, min_depths=2
output-code-79.txt: total_sum=14286, max_depths=283, min_depths=1
output-code-80.txt: total_sum=17658, max_depths=259, min_depths=1
output-code-82.txt: total_sum=2696, max_depths=84, min_depths=1
output-code-83.txt: total_sum=29734, max_depths=372, min_depths=1
output-code-84.txt: total_sum=9598, max_depths=167, min_depths=2
output-code-85.txt: total_sum=7082, max_depths=159, min_depths=1
output-code-86.txt: total_sum=3708, max_depths=86, min_depths=37
output-code-87.txt: total_sum=6214, max_depths=106, min_depths=2
output-code-88.txt: total_sum=3694, max_depths=99, min_depths=1
output-code-89.txt: total_sum=22444, max_depths=400, min_depths=1
output-code-90.txt: total_sum=31234, max_depths=335, min_depths=1
output-code-91.txt: total_sum=12228, max_depths=224, min_depths=1
output-code-92.txt: total_sum=26816, max_depths=285, min_depths=1
output-code-93.txt: total_sum=20030, max_depths=220, min_depths=73
output-code-94.txt: total_sum=22092, max_depths=287, min_depths=44
output-code-95.txt: total_sum=28998, max_depths=418, min_depths=1
output-code-96.txt: total_sum=6218, max_depths=156, min_depths=1
output-code-97.txt: total_sum=11648, max_depths=182, min_depths=58
output-code-98.txt: total_sum=4862, max_depths=125, min_depths=2
