output-code-0.txt: avg_path_length=1.5033954060779184, max_path_length=3.8597030209933436, min_path_length=1.0
test.txt: avg_path_length=2.134502923976608, max_path_length=2.935672514619883, min_path_length=1.3333333333333333
output-code-1.txt: avg_path_length=1.149638802889577, max_path_length=2.676470588235294, min_path_length=1.0
output-code-2.txt: avg_path_length=1.7291857044621308, max_path_length=2.676470588235294, min_path_length=1.3333333333333333
output-code-4.txt: avg_path_length=1.1863945578231294, max_path_length=2.6095238095238096, min_path_length=1.0
output-code-5.txt: avg_path_length=1.3339399399399399, max_path_length=3.8565765765765767, min_path_length=1.0
output-code-6.txt: avg_path_length=2.642450980392157, max_path_length=2.9466666666666668, min_path_length=2.338235294117647
output-code-7.txt: avg_path_length=2.0303030303030307, max_path_length=2.7333333333333334, min_path_length=1.3333333333333333
output-code-8.txt: avg_path_length=1.3360397040030905, max_path_length=2.847342995169082, min_path_length=1.0
output-code-9.txt: avg_path_length=1.2892107031641915, max_path_length=3.1118493909191582, min_path_length=1.0
output-code-10.txt: avg_path_length=1.3685628485628485, max_path_length=2.918918918918919, min_path_length=1.0
output-code-11.txt: avg_path_length=1.136140350877193, max_path_length=2.92, min_path_length=1.0
output-code-12.txt: avg_path_length=1.1633333333333333, max_path_length=2.92, min_path_length=1.0
output-code-13.txt: avg_path_length=1.2525617305913328, max_path_length=2.898550724637681, min_path_length=1.0
output-code-14.txt: avg_path_length=1.1531882868089764, max_path_length=3.0098522167487687, min_path_length=1.0
output-code-15.txt: avg_path_length=2.1821675056969174, max_path_length=3.279220779220779, min_path_length=1.3333333333333333
output-code-16.txt: avg_path_length=1.1396364641647658, max_path_length=3.2206095791001452, min_path_length=1.0
output-code-17.txt: avg_path_length=2.186967635539064, max_path_length=3.24734693877551, min_path_length=1.3333333333333333
output-code-18.txt: avg_path_length=1.154786620530565, max_path_length=3.2627450980392156, min_path_length=1.0
output-code-19.txt: avg_path_length=3.2980551786521937, max_path_length=3.2980551786521937, min_path_length=3.2980551786521937
output-code-20.txt: avg_path_length=1.4673023168306185, max_path_length=3.5156695156695155, min_path_length=1.0
output-code-21.txt: avg_path_length=1.2027027027027029, max_path_length=3.054054054054054, min_path_length=1.0
output-code-22.txt: avg_path_length=2.2788736023897425, max_path_length=3.053030303030303, min_path_length=1.3333333333333333
output-code-23.txt: avg_path_length=2.0884334344592594, max_path_length=3.0050420168067227, min_path_length=1.3333333333333333
output-code-24.txt: avg_path_length=2.23910471773408, max_path_length=3.299824663939217, min_path_length=1.3333333333333333
output-code-25.txt: avg_path_length=1.355920550038197, max_path_length=2.843137254901961, min_path_length=1.0
output-code-26.txt: avg_path_length=1.21301247771836, max_path_length=2.676470588235294, min_path_length=1.0
output-code-27.txt: avg_path_length=1.3723185311420605, max_path_length=2.6095238095238096, min_path_length=1.0
output-code-28.txt: avg_path_length=1.366265783139489, max_path_length=2.704761904761905, min_path_length=1.0
